SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
5172,1,747,2,4018,0,0,0,5986,1,749,0,5409,1,749,0
6952,0,750,0,4637,1,1,0,6093,1,12,738,5465,0,750,0
5198,0,0,0,3844,0,0,750,7091,1,7,742,5117,0,750,0
4549,0,0,0,6786,0,750,0,4953,1,11,739,5683,1,749,0
4701,0,0,0,5148,1,748,1,5066,1,7,742,6442,0,0,0
5162,1,749,0,5274,0,0,750,5550,1,12,738,6303,0,750,0
4635,0,0,750,4116,0,0,0,4833,0,750,0,5584,0,0,750
7538,0,750,0,6385,1,1,749,5903,0,750,0,6937,0,0,750
5597,1,1,749,4989,0,750,0,7256,1,6,744,4995,1,745,0
6004,1,749,1,4388,0,750,0,6230,1,9,8,6241,0,750,0
6654,1,749,0,6440,1,749,1,6423,1,11,739,4975,1,2,748
5632,1,1,749,4321,0,0,0,4531,0,750,0,5296,1,0,1
5642,0,0,750,4672,0,750,0,5041,0,750,0,5965,0,750,0
4447,0,0,0,4754,1,1,749,5837,1,15,7,5595,1,748,1
4786,1,747,2,6153,1,749,0,5344,1,8,742,8740,1,2,748
5832,0,0,750,5605,0,750,0,6468,1,8,742,5679,0,750,0
6755,0,0,750,4204,0,750,0,5876,1,19,731,5470,0,750,0
5372,0,750,0,4556,0,750,0,5948,1,8,742,4632,0,750,0
4668,0,750,0,4704,0,0,0,6664,1,10,5,5371,0,750,0
6566,1,1,1,4840,0,0,0,4537,0,750,0,4842,0,750,0
5378,1,0,749,4705,1,749,0,5958,1,9,10,6573,1,1,2
5954,1,749,1,4366,0,0,750,5453,0,750,0,10000,2,7,0
4992,0,750,0,4357,0,750,0,5440,1,749,1,6176,0,750,0
4518,0,0,750,5412,0,750,0,5099,0,750,0,6010,1,749,1
5025,0,750,0,5175,0,750,0,6101,0,750,0,5787,1,2,748
