complete,star,cycle,line,er,pa,pa2
272,453,20000,20000,363,524,653
452,455,20000,20000,370,429,20000
406,586,20000,20000,254,473,464
359,650,20000,20000,286,370,20000
313,606,20000,20000,418,470,20000
408,648,20000,20000,220,330,20000
164,868,20000,20000,414,761,20000
224,613,20000,20000,306,387,20000
243,478,20000,20000,739,298,20000
353,518,20000,20000,528,574,20000
499,482,20000,20000,209,418,20000
222,785,20000,20000,285,310,20000
459,600,20000,20000,347,322,786
504,429,20000,20000,254,449,20000
248,827,20000,20000,303,366,20000
304,627,20000,20000,407,368,20000
324,458,20000,20000,237,278,20000
236,572,20000,20000,311,526,20000
371,707,20000,20000,536,843,20000
315,527,20000,20000,260,680,407
390,712,20000,20000,397,334,508
273,495,20000,20000,347,405,935
291,527,20000,20000,367,340,20000
252,742,20000,20000,312,429,1013
204,1033,20000,20000,248,574,20000
385,364,20000,20000,289,717,20000
303,645,20000,20000,297,20000,20000
171,613,20000,20000,444,618,20000
281,870,20000,20000,480,410,902
306,498,20000,20000,321,368,20000
350,462,20000,20000,439,737,20000
288,901,20000,20000,301,702,1500
346,495,20000,20000,443,251,20000
266,895,20000,20000,395,703,609
359,498,20000,20000,384,400,20000
274,620,20000,20000,353,334,20000
255,592,20000,20000,236,554,20000
316,770,20000,20000,189,1202,20000
295,589,20000,20000,282,790,20000
412,411,20000,20000,447,503,20000
379,480,20000,20000,391,435,20000
426,574,20000,20000,296,410,20000
248,669,20000,20000,336,396,20000
444,696,20000,20000,331,20000,20000
291,621,20000,20000,351,214,20000
250,586,20000,20000,374,368,20000
296,820,20000,20000,391,256,20000
317,471,20000,20000,252,370,20000
509,568,20000,20000,272,424,20000
242,375,20000,20000,272,328,998
279,625,20000,20000,360,316,1006
278,891,20000,20000,354,476,20000
480,944,20000,20000,378,505,20000
191,690,20000,20000,359,566,20000
390,655,20000,20000,421,265,20000
366,820,20000,20000,528,377,20000
341,841,20000,20000,250,204,20000
254,913,20000,20000,262,792,20000
331,606,20000,20000,387,347,20000
323,1234,20000,20000,493,371,20000
303,685,20000,20000,445,337,20000
499,534,20000,20000,294,584,536
275,657,20000,20000,280,558,20000
419,801,20000,20000,300,728,20000
243,616,20000,20000,241,605,20000
282,1010,20000,20000,229,381,20000
317,890,20000,20000,379,211,20000
492,654,20000,20000,248,526,20000
427,857,20000,20000,290,382,20000
275,609,20000,20000,297,513,20000
548,708,20000,20000,359,348,2062
396,615,20000,20000,357,286,20000
338,780,20000,20000,183,418,20000
400,486,20000,20000,310,355,20000
385,739,20000,20000,183,404,20000
246,808,20000,20000,274,480,20000
250,627,20000,20000,363,303,666
253,579,20000,20000,318,469,20000
239,1176,20000,20000,288,20000,1044
424,618,20000,20000,230,548,1019
291,677,20000,20000,480,428,20000
470,602,20000,20000,269,540,1057
378,748,20000,20000,335,687,20000
247,607,20000,20000,615,478,20000
295,520,20000,20000,285,409,20000
522,576,20000,20000,415,454,20000
280,593,20000,20000,282,420,20000
372,731,20000,20000,329,370,20000
497,675,20000,20000,447,363,580
255,677,20000,20000,260,514,20000
372,714,20000,20000,664,596,511
335,864,20000,20000,613,325,20000
198,657,20000,20000,379,553,2166
386,876,20000,20000,298,769,1120
254,412,20000,20000,280,326,675
375,849,20000,20000,441,400,20000
402,517,20000,20000,298,345,20000
241,427,20000,20000,290,418,20000
239,529,20000,20000,356,464,20000
447,917,20000,20000,377,512,738
