complete,star,cycle,line,er,pa,pa2
409,651,10000,10000,297,497,954
327,294,10000,10000,556,388,798
445,542,10000,10000,404,578,582
329,332,10000,10000,369,669,561
315,256,10000,10000,600,673,664
306,581,10000,10000,460,537,792
403,437,10000,10000,339,602,387
794,490,10000,10000,330,511,1100
311,477,10000,10000,385,1207,557
427,303,10000,10000,395,492,353
291,313,8975,10000,488,563,1083
474,279,10000,10000,396,530,645
525,366,10000,10000,540,579,384
276,706,10000,10000,373,556,1516
432,453,10000,10000,348,354,620
509,311,10000,10000,597,759,716
386,353,10000,10000,316,593,377
303,427,10000,10000,372,387,1170
348,668,10000,10000,383,597,539
415,411,10000,10000,340,419,477
413,488,10000,10000,368,410,660
536,321,10000,10000,448,582,755
403,428,10000,10000,450,403,868
413,468,10000,10000,678,388,409
419,475,10000,10000,282,552,807
396,340,10000,10000,394,693,457
611,362,10000,10000,242,685,722
337,484,10000,10000,536,477,655
357,407,10000,10000,360,519,1361
398,321,10000,10000,306,639,1088
396,435,10000,10000,371,612,885
413,368,10000,10000,359,467,771
723,463,10000,10000,473,508,382
339,370,10000,10000,314,395,382
620,765,10000,10000,562,978,646
438,558,10000,10000,507,798,462
747,436,6098,10000,346,629,616
414,532,10000,10000,624,280,930
346,352,10000,10000,374,401,692
396,658,10000,10000,349,398,747
300,476,10000,10000,287,325,1190
614,472,10000,10000,447,686,358
590,354,10000,10000,327,379,1061
391,398,10000,10000,349,1211,608
293,391,10000,10000,507,901,643
448,334,10000,10000,308,592,813
322,349,10000,10000,381,409,453
506,399,9763,10000,279,601,364
344,333,10000,10000,545,407,659
749,529,10000,10000,490,507,604
290,477,10000,10000,475,262,632
466,406,10000,10000,340,556,798
801,453,10000,10000,365,455,858
430,366,10000,10000,514,644,735
344,475,10000,10000,657,746,674
340,430,10000,10000,501,368,609
473,333,10000,10000,370,762,517
367,331,10000,10000,623,416,446
309,326,10000,10000,607,840,540
636,494,10000,10000,405,655,970
686,354,10000,10000,530,996,315
414,452,10000,10000,458,515,1624
446,558,10000,10000,277,410,509
382,526,10000,10000,524,561,542
535,369,10000,10000,323,487,473
363,403,10000,10000,446,502,2178
251,517,7225,10000,389,876,912
413,498,10000,10000,273,638,406
360,489,10000,10000,779,934,936
805,441,10000,10000,355,729,582
334,347,10000,10000,908,574,1074
335,309,10000,10000,394,684,850
525,402,10000,10000,445,556,662
366,310,10000,10000,353,255,933
428,505,10000,10000,542,430,541
342,304,10000,10000,405,626,491
324,357,10000,10000,471,481,577
399,555,10000,10000,649,370,1258
343,362,10000,10000,608,465,1132
455,399,10000,10000,376,463,771
405,287,10000,10000,436,367,795
357,453,10000,10000,489,658,625
351,564,10000,10000,277,859,921
530,497,10000,10000,667,759,642
432,475,9070,3771,427,537,729
317,518,10000,10000,524,337,417
772,570,10000,10000,303,530,702
553,319,10000,10000,774,510,741
352,425,10000,10000,610,692,632
615,372,10000,10000,333,436,760
382,349,10000,10000,334,444,588
632,439,10000,10000,731,342,1384
692,518,10000,10000,387,555,686
504,460,10000,10000,396,793,600
595,625,10000,10000,322,542,768
433,322,10000,10000,396,505,1084
389,457,10000,10000,362,454,549
485,503,10000,10000,312,676,911
386,347,10000,10000,572,722,603
403,368,10000,10000,684,496,1300
