complete,star,cycle,line,er,pa,pa2
395,327,10000,10000,340,397,873
516,476,10000,10000,499,662,1165
529,595,10000,10000,426,997,548
446,382,10000,10000,405,961,470
628,509,10000,8933,576,415,382
484,341,10000,10000,281,541,651
255,311,10000,10000,333,441,912
306,248,10000,10000,442,1053,840
361,418,10000,10000,604,305,574
436,375,10000,10000,336,395,782
400,456,10000,10000,622,510,603
469,585,10000,10000,675,606,559
365,713,10000,10000,426,886,410
395,464,10000,10000,372,630,778
261,459,10000,10000,358,586,1084
269,426,10000,10000,757,608,1927
302,449,10000,10000,326,579,846
353,263,7562,10000,395,811,805
408,413,10000,10000,753,396,499
451,417,10000,9080,498,362,632
369,513,10000,10000,431,446,560
706,306,10000,10000,414,473,635
685,326,10000,10000,435,554,764
629,394,10000,10000,574,492,419
354,487,10000,9476,269,768,819
428,415,10000,10000,442,499,713
524,449,10000,6672,521,580,1070
562,257,10000,10000,668,728,821
302,493,10000,10000,463,506,1138
273,440,10000,10000,384,583,1089
751,452,10000,10000,412,387,461
376,344,10000,10000,411,516,478
354,533,10000,10000,275,594,700
493,255,10000,10000,578,655,834
691,508,10000,10000,513,544,1043
446,452,10000,10000,409,480,672
534,600,10000,10000,410,490,556
414,395,10000,10000,564,713,481
300,500,7739,10000,632,502,731
313,529,10000,10000,527,393,1144
431,369,10000,10000,616,465,435
354,342,10000,10000,609,645,954
737,383,10000,10000,340,416,752
416,513,10000,10000,554,331,1525
383,428,2403,10000,376,674,555
284,545,10000,10000,397,524,461
607,404,10000,10000,382,540,889
327,267,10000,10000,403,467,745
467,480,10000,10000,350,514,540
519,402,10000,10000,382,563,622
321,425,4167,10000,422,593,929
255,365,10000,6918,609,474,672
456,380,10000,10000,363,455,658
758,486,10000,10000,474,606,937
413,388,10000,10000,591,486,754
547,439,10000,10000,348,721,711
402,594,10000,10000,524,640,586
448,628,10000,10000,404,467,987
362,399,10000,10000,484,773,521
337,493,10000,10000,377,361,765
440,760,8487,10000,510,799,505
667,420,10000,10000,311,343,882
725,339,10000,10000,517,404,998
316,587,10000,10000,274,595,562
447,419,10000,10000,393,539,738
407,388,10000,10000,410,477,566
375,702,7335,10000,262,562,777
336,407,10000,10000,318,638,440
381,417,6238,10000,411,574,1211
420,414,10000,10000,561,561,912
374,361,6108,10000,453,587,366
344,334,10000,10000,367,433,526
492,629,10000,10000,655,788,534
443,484,10000,10000,385,595,525
538,750,10000,10000,272,617,1010
453,379,10000,10000,439,706,715
382,510,10000,10000,318,426,484
351,401,10000,10000,890,591,583
292,505,10000,10000,339,536,934
361,534,10000,10000,420,412,539
639,458,10000,10000,420,362,815
345,506,10000,10000,392,532,500
346,474,10000,10000,403,552,865
396,547,10000,10000,341,334,649
375,420,10000,5275,456,599,909
368,315,5470,7665,314,775,812
508,454,10000,10000,530,723,414
297,519,10000,10000,309,531,1051
535,287,10000,10000,353,714,630
497,337,10000,10000,504,458,483
462,420,10000,10000,475,522,790
620,365,10000,10000,412,467,1036
479,465,10000,10000,666,567,741
399,266,10000,10000,364,475,582
301,498,10000,10000,351,683,1347
414,535,10000,10000,289,531,591
253,363,10000,10000,309,470,720
343,348,10000,10000,389,764,523
509,477,10000,10000,490,492,985
649,333,10000,10000,575,533,568
