complete,star,cycle,line,er,pa,pa2
6998,547,10000,10000,7391,2318,10000
7735,538,10000,10000,10000,10000,5164
10000,748,10000,10000,6783,5175,10000
10000,1054,10000,10000,7643,10000,2754
7293,446,10000,10000,5289,2839,7166
10000,594,10000,10000,10000,3004,5464
10000,369,10000,10000,5352,10000,6717
3678,349,10000,10000,6450,4397,9419
9423,688,10000,10000,8094,6455,2539
9272,464,10000,10000,7438,6727,3761
7268,672,10000,10000,7682,4477,3072
4405,705,10000,10000,10000,9936,8082
7594,1260,10000,10000,10000,3135,3625
10000,612,10000,10000,8789,7153,7711
2760,1494,10000,10000,4610,7215,8843
5507,503,10000,10000,8468,4729,10000
4636,395,10000,10000,10000,5250,6366
9259,385,10000,10000,3039,10000,10000
5119,660,10000,10000,10000,8253,5521
8731,490,10000,10000,8970,10000,7211
10000,704,10000,10000,6579,10000,8132
4995,567,10000,10000,10000,5586,10000
5723,439,10000,10000,8559,9388,8377
7040,1576,10000,10000,4263,4081,4108
10000,579,10000,10000,10000,5290,5587
10000,694,10000,10000,10000,4843,10000
8792,700,10000,10000,10000,5894,8004
9741,407,10000,10000,10000,3511,6846
10000,799,10000,10000,10000,7064,3737
7038,483,10000,10000,10000,7576,4868
5947,681,10000,10000,9469,3932,10000
10000,485,10000,10000,6081,6275,4369
10000,674,10000,10000,10000,2645,10000
9075,1253,10000,10000,4653,6663,5888
9527,401,10000,10000,9982,9781,10000
5414,533,10000,10000,10000,5451,8227
7925,884,10000,10000,10000,7071,8090
10000,497,10000,10000,5626,4780,7655
8114,549,10000,10000,10000,10000,3891
10000,624,10000,10000,7585,2319,6379
9465,689,10000,10000,4260,10000,10000
9399,805,10000,10000,5401,4504,10000
7070,744,10000,10000,4808,5110,6261
5331,638,10000,10000,9943,5136,2723
8356,631,10000,10000,10000,10000,4193
10000,638,10000,10000,6580,10000,4814
6500,587,10000,10000,8592,9596,10000
10000,449,10000,10000,7661,7102,6900
6047,577,10000,10000,9997,4172,9816
2442,906,10000,10000,5491,4680,4806
10000,671,10000,10000,7676,3042,8671
10000,955,10000,10000,10000,8835,2548
10000,366,10000,10000,9637,8212,7639
4139,472,10000,10000,7259,8201,3692
5247,798,10000,10000,3292,3230,7696
7837,439,10000,10000,9948,4742,10000
6803,612,10000,10000,9714,5942,3998
4862,568,10000,10000,10000,5901,3586
10000,951,10000,10000,10000,5675,3989
10000,599,10000,10000,10000,6291,6841
5024,756,10000,10000,5979,10000,4971
9822,361,10000,10000,9764,4244,6004
10000,535,10000,10000,3793,3441,6748
5814,1187,10000,10000,7187,4992,5763
10000,371,10000,10000,10000,10000,10000
10000,538,10000,10000,10000,10000,7185
7479,479,10000,10000,10000,3903,10000
4427,597,10000,10000,5516,10000,10000
10000,418,10000,10000,6631,4043,4754
10000,845,10000,10000,5582,8593,10000
10000,783,10000,10000,4086,3677,7057
10000,636,10000,10000,10000,2173,9277
3850,496,10000,10000,4848,10000,9819
10000,473,10000,10000,5467,6306,7358
8605,605,10000,10000,7121,5521,2236
10000,634,10000,10000,6089,7802,5908
5632,414,10000,10000,10000,5105,6273
10000,793,10000,10000,9630,5130,10000
5022,879,10000,10000,6408,4544,8977
6220,711,10000,10000,7096,4753,7892
7038,390,10000,10000,10000,6234,5539
7121,860,10000,10000,5572,6915,10000
8451,706,10000,10000,10000,10000,5993
10000,584,10000,10000,10000,10000,4636
4522,552,10000,10000,10000,6289,4655
10000,477,10000,10000,10000,10000,10000
6992,448,10000,10000,7196,4600,10000
5406,563,10000,10000,6358,3955,3318
9414,453,10000,10000,10000,4908,10000
5129,497,10000,10000,9094,10000,2868
10000,749,10000,10000,6981,7825,10000
10000,898,10000,10000,8631,4129,6222
10000,1081,10000,10000,6164,6153,5561
10000,460,10000,10000,2586,3279,10000
10000,511,10000,10000,9441,3757,3607
10000,633,10000,10000,10000,1762,8706
10000,550,10000,10000,10000,10000,10000
9082,840,10000,10000,6300,10000,4319
10000,340,10000,10000,10000,10000,3235
10000,550,10000,10000,6181,6616,9044
