complete,star,cycle,line,er,pa,pa2
10000,735,10000,10000,5384,7986,6703
7080,755,10000,10000,9460,10000,10000
7815,763,10000,10000,9447,2729,5557
8038,512,10000,10000,9348,9141,7055
8753,571,10000,10000,6573,4689,6786
10000,458,10000,10000,6227,10000,10000
10000,501,10000,10000,3665,2845,10000
6774,523,10000,10000,10000,6165,7676
9555,502,10000,10000,9474,3049,5109
10000,385,10000,10000,8757,7006,6488
8451,705,10000,10000,4527,5033,8585
7458,696,10000,10000,10000,5411,5989
3974,1154,10000,10000,8117,3178,9456
10000,449,10000,10000,5661,9301,6184
2177,441,10000,10000,2637,10000,5552
7327,681,10000,10000,7174,10000,10000
4893,461,10000,10000,7464,7086,10000
3369,500,10000,10000,10000,9143,10000
8826,784,10000,10000,10000,5597,5481
10000,657,10000,10000,10000,10000,10000
9395,640,10000,10000,10000,2556,10000
4901,397,10000,10000,10000,6266,5793
10000,708,10000,10000,9939,2713,4796
10000,586,10000,10000,4816,9297,10000
10000,856,10000,10000,10000,3498,10000
9540,442,10000,10000,10000,3864,4029
8407,509,10000,10000,6841,7277,10000
5404,796,10000,10000,6597,6634,8768
10000,603,10000,10000,10000,7934,7551
7412,755,10000,10000,4627,4555,4736
10000,903,10000,10000,10000,5426,7325
5298,646,10000,10000,5094,9072,7344
10000,788,10000,10000,5023,7591,10000
5586,553,10000,10000,7201,10000,2354
8992,635,10000,10000,10000,10000,10000
7477,424,10000,10000,10000,3869,5247
4985,489,10000,10000,10000,5747,6161
8538,784,10000,10000,10000,5140,10000
10000,409,10000,10000,4522,10000,10000
10000,634,10000,10000,10000,10000,10000
5195,548,10000,10000,7460,7604,4791
4808,413,10000,10000,5168,6681,3090
6046,663,10000,10000,10000,10000,10000
7174,593,10000,10000,3820,3554,4258
10000,541,10000,10000,10000,8166,8017
6348,974,10000,10000,7207,10000,4754
3359,528,10000,10000,7858,4985,6991
4439,611,10000,10000,10000,7744,8369
9125,537,10000,10000,6959,10000,6374
4388,474,10000,10000,10000,10000,3071
5215,514,10000,10000,10000,7823,3925
6682,727,10000,10000,5526,8059,7442
9765,408,10000,10000,10000,3580,10000
3800,638,10000,10000,10000,3312,3666
10000,456,10000,10000,7734,6347,6365
6876,541,10000,10000,8569,10000,6284
10000,515,10000,10000,8245,3245,10000
5842,427,10000,10000,6779,5569,6034
4229,657,10000,10000,10000,5942,3509
7744,695,10000,10000,10000,8904,10000
5200,428,10000,10000,7907,10000,10000
5448,1274,10000,10000,10000,1985,8146
7924,338,10000,10000,6033,6010,10000
3810,500,10000,10000,10000,10000,10000
5488,535,10000,10000,4323,4474,3651
10000,555,10000,10000,10000,5522,9809
10000,634,10000,10000,10000,6943,3000
4832,561,10000,10000,10000,6240,9650
10000,477,10000,10000,6937,10000,7117
7573,471,10000,10000,8453,4347,4932
7828,672,10000,10000,6803,10000,5923
10000,649,10000,10000,3756,5311,8487
10000,696,10000,10000,7425,3940,8071
9173,400,10000,10000,8238,7876,5214
6955,675,10000,10000,10000,6094,6798
6801,627,10000,10000,7220,10000,10000
10000,760,10000,10000,7596,5891,10000
6771,933,10000,10000,2487,10000,8947
7566,475,10000,10000,10000,6603,10000
3570,810,10000,10000,10000,5760,5209
10000,519,10000,10000,8044,5272,3373
8115,537,10000,10000,8232,5993,10000
10000,501,10000,10000,6969,4457,10000
10000,626,10000,10000,10000,5608,10000
10000,611,10000,10000,5763,7856,10000
3839,660,10000,10000,10000,4330,2301
6526,639,10000,10000,10000,5404,10000
7346,1234,10000,10000,10000,3752,6302
10000,625,10000,10000,9043,5939,10000
6933,446,10000,10000,10000,5811,5538
6153,586,10000,10000,8935,8730,5065
10000,793,10000,10000,9279,7295,5689
10000,378,10000,10000,8519,5199,6754
8683,1032,10000,10000,5772,4175,4997
8811,433,10000,10000,9745,6913,10000
9000,578,10000,10000,10000,5874,10000
10000,915,10000,10000,5902,10000,7880
10000,413,10000,10000,6367,2333,10000
10000,602,10000,10000,8038,6551,10000
5317,454,10000,10000,6136,3786,8597
