complete,star,cycle,line,er,pa,pa2
4317,354,10000,5863,6101,6733,5582
3145,477,10000,10000,7647,10000,2211
4409,443,10000,10000,5056,1727,3674
5574,613,10000,10000,3696,4747,5004
8528,585,10000,10000,8690,2266,5539
3091,427,10000,10000,7106,10000,10000
5809,614,10000,10000,9431,2939,8871
10000,469,10000,10000,4510,2912,5146
2435,618,10000,10000,1672,5051,10000
10000,415,10000,4705,10000,1421,3005
5745,542,10000,10000,6059,2292,7713
2692,760,10000,10000,6813,3420,3463
7574,381,10000,10000,5655,3095,1323
8593,428,10000,10000,2653,2191,10000
2576,293,10000,10000,10000,1151,3782
2295,435,10000,10000,2852,3896,1424
2373,412,9578,10000,10000,1253,6726
2404,400,10000,10000,4364,5553,5151
8863,640,10000,7899,10000,4047,10000
10000,674,10000,10000,9938,6352,3817
4726,428,10000,10000,5192,10000,5523
10000,551,10000,10000,3280,1987,4191
6769,624,10000,10000,10000,1529,1252
1378,260,10000,10000,2806,3424,3016
6018,523,10000,10000,843,1902,8320
3019,561,10000,10000,10000,2218,9003
4070,433,10000,10000,2861,10000,3690
10000,351,10000,10000,4399,2348,5400
2032,492,10000,10000,10000,3114,10000
3519,503,10000,10000,1383,3084,4587
3040,539,10000,10000,3296,4924,10000
6682,451,10000,10000,10000,778,10000
3203,402,10000,10000,7466,4924,4340
5309,457,10000,8077,8479,6204,4033
4180,727,7326,10000,3311,3733,10000
8048,432,10000,10000,9689,2170,9025
6214,412,10000,10000,10000,3140,7335
6350,444,10000,10000,2949,4380,3799
3027,725,10000,10000,10000,10000,4909
3443,415,10000,10000,4093,2533,1799
4173,432,10000,10000,4630,2943,4174
9089,849,10000,10000,2914,2186,4418
4542,432,10000,10000,2554,1438,1874
4888,488,6270,10000,815,2681,4779
6201,452,10000,10000,10000,4847,2000
6679,792,10000,10000,8104,10000,7351
9923,616,10000,10000,4901,5760,7766
2377,535,10000,10000,6076,1197,6438
2215,311,10000,10000,3505,6127,7219
10000,873,10000,10000,5811,1667,10000
4415,386,10000,10000,4480,6377,8014
10000,410,10000,10000,10000,4445,10000
3156,374,9418,10000,3383,10000,3618
9769,635,10000,10000,7524,9509,10000
9770,333,8165,10000,4160,1605,8869
2526,416,10000,10000,900,5361,1473
3408,393,10000,10000,4805,2180,7076
9419,776,10000,10000,2813,622,6536
10000,281,10000,10000,10000,1858,2387
4994,269,10000,10000,4280,4344,3492
10000,376,10000,10000,2279,5875,7800
10000,398,10000,10000,7632,4605,1503
5862,342,10000,10000,5805,5200,4057
5149,330,10000,10000,10000,4112,6560
7776,559,10000,10000,2567,5422,4061
2289,365,10000,10000,6485,2809,4211
10000,360,10000,10000,3252,1827,4870
10000,385,10000,10000,6908,1545,2969
9407,694,10000,10000,10000,2102,10000
6461,291,10000,10000,10000,2591,2043
3843,273,10000,10000,9443,9078,10000
7995,396,10000,10000,6465,7834,7623
6056,787,10000,10000,6021,872,4237
3393,798,10000,10000,10000,6600,3677
5840,488,10000,10000,5597,1230,6661
6291,342,10000,10000,7267,3299,10000
5255,452,10000,10000,1026,2326,5269
3986,272,10000,10000,8409,3399,1663
2301,489,10000,10000,3042,1626,4595
10000,590,10000,10000,1009,6444,2141
10000,515,10000,10000,1513,3486,2604
8710,389,10000,10000,4560,3105,3140
3553,423,10000,10000,2748,1766,9460
4928,458,10000,5394,8434,8454,6244
6910,745,10000,10000,7968,3711,6210
6074,525,10000,10000,3039,7602,10000
9064,595,10000,10000,7750,1987,10000
10000,386,10000,10000,6143,5492,10000
10000,317,10000,10000,8262,5052,7234
10000,262,10000,10000,6493,2079,5218
6580,922,10000,10000,1127,10000,1769
4634,417,10000,10000,3435,2442,1594
2351,690,10000,10000,3950,3816,1709
3278,808,10000,10000,10000,1489,9120
8468,455,10000,10000,1752,6807,6290
2745,217,10000,10000,2284,1878,3235
5263,529,8689,10000,6339,10000,10000
7688,457,10000,10000,10000,4187,6022
5739,646,10000,10000,5093,3655,7006
10000,293,10000,10000,4352,5794,4651
