complete,star,cycle,line,er,pa,pa2
10000,894,10000,10000,3359,7592,10000
10000,456,10000,10000,2439,2952,3736
6234,301,10000,10000,2012,3288,2173
10000,291,10000,10000,9042,6037,2595
1624,622,10000,10000,2554,1935,2261
2852,313,10000,10000,10000,2752,10000
4291,366,10000,10000,10000,4717,2317
963,533,10000,10000,3003,1316,3755
10000,726,10000,10000,4603,3103,6594
4461,371,10000,10000,7514,4660,10000
3726,418,10000,10000,4622,4795,7462
8916,601,10000,10000,10000,9290,10000
6189,388,10000,10000,5376,6023,4550
6192,670,10000,10000,4076,2758,2331
2518,299,10000,10000,3599,4125,7920
7850,448,10000,10000,4342,5351,3377
2135,308,10000,10000,10000,5488,4178
2062,611,10000,10000,1728,8643,4185
4448,491,10000,10000,5428,2139,3360
2452,688,10000,10000,10000,10000,8128
5740,584,10000,10000,10000,2661,1213
1804,822,10000,10000,6196,5547,2952
8957,738,10000,10000,5333,6952,7535
4974,471,10000,10000,8020,4240,6113
3725,684,10000,10000,2966,1085,3884
10000,376,10000,10000,3475,10000,7319
3861,332,2945,10000,4071,2839,2823
7504,658,10000,10000,5554,2772,10000
4270,667,10000,10000,924,7339,10000
4939,538,6447,10000,10000,5320,6236
1887,415,10000,10000,4672,7156,10000
4292,904,6439,10000,1779,5419,10000
3968,372,10000,10000,6422,1280,6130
2432,347,10000,10000,2920,6819,8292
1158,838,2890,10000,5191,10000,3402
3537,456,10000,10000,4758,5204,2391
3935,359,10000,10000,10000,4101,3824
5798,417,10000,10000,3387,10000,1448
10000,422,10000,10000,10000,2780,5788
5449,431,10000,10000,10000,9813,5363
8964,411,10000,10000,1039,9168,6526
10000,817,10000,10000,2876,608,7262
3918,570,10000,10000,4949,10000,1247
2463,451,10000,10000,5236,6475,10000
3293,533,10000,10000,10000,8790,8732
5890,856,10000,10000,2437,2701,2800
2389,431,10000,10000,4115,4826,3785
2477,404,10000,10000,2826,1938,9164
4295,498,10000,10000,6692,2108,1860
10000,499,10000,10000,3199,2100,5770
3784,400,10000,10000,3615,5234,6317
2241,471,10000,5070,10000,3496,4801
2266,423,10000,10000,1165,8468,5013
10000,310,10000,10000,2864,6212,5356
6040,307,10000,10000,6322,10000,4544
7062,468,10000,10000,1659,4308,4691
10000,233,10000,10000,10000,2640,4026
1631,609,10000,10000,4876,4380,3503
4248,645,10000,10000,8897,2193,10000
3967,486,10000,10000,4501,5930,5274
3591,550,10000,10000,10000,2179,6427
9315,397,10000,10000,5625,5647,10000
3223,362,10000,7671,1161,1839,5044
3900,339,10000,10000,10000,6647,4661
6012,401,10000,10000,4131,2610,3800
6144,534,7156,10000,4504,919,1611
6562,342,10000,10000,4237,2282,3938
10000,423,10000,10000,7313,4413,3910
3983,521,10000,10000,3122,1170,1591
3609,405,10000,10000,7123,10000,6124
6523,449,10000,10000,4043,2261,2604
7686,526,10000,10000,5880,3472,4325
1085,436,10000,10000,2731,3886,4103
4113,607,4609,9488,3337,786,6213
10000,470,10000,10000,2810,1026,6666
2298,401,10000,10000,10000,3559,2710
6124,333,10000,6566,2766,5365,5162
5512,354,10000,10000,10000,3653,2327
10000,456,10000,10000,2109,1846,2110
4352,599,10000,10000,4414,2850,1659
6545,482,10000,10000,1883,7540,8801
5539,824,10000,10000,3903,2859,2348
2434,414,10000,10000,5952,10000,2954
2146,821,10000,10000,2704,7090,3870
4723,574,10000,10000,6376,2243,8586
10000,540,10000,10000,8319,4634,7590
5074,433,9112,10000,10000,1401,10000
5564,358,10000,10000,3412,1794,10000
1703,554,10000,10000,6571,10000,10000
9181,691,10000,10000,5723,1928,1937
4467,376,10000,10000,7184,6097,6277
10000,499,10000,10000,9943,3748,3538
3575,407,10000,10000,2277,3330,2058
1840,339,10000,10000,8106,10000,2498
4773,404,10000,10000,2442,5362,2791
7525,438,10000,10000,958,4500,7992
3112,355,10000,8673,10000,7574,4074
2010,475,10000,10000,3022,2870,9191
3180,401,10000,10000,7230,1709,10000
3982,603,10000,10000,5594,2951,1762
