complete,star,cycle,line,er,pa,pa2
4920,785,10000,10000,3526,5675,6997
5793,538,10000,10000,7865,10000,10000
10000,635,10000,10000,4383,4251,10000
7552,767,10000,10000,10000,5664,10000
10000,602,10000,10000,6427,6846,2839
2720,424,10000,10000,5610,10000,10000
5693,408,10000,10000,10000,3148,6539
7401,715,10000,10000,10000,5453,5781
8390,892,10000,10000,7723,2256,5013
4386,816,10000,10000,10000,7190,5294
10000,1155,10000,10000,6486,3769,4485
5745,610,10000,10000,10000,10000,10000
10000,561,10000,10000,10000,4529,3444
8398,563,10000,10000,4005,2703,4369
8711,442,10000,10000,7513,4072,4281
2544,419,10000,10000,7373,2132,6746
5992,592,10000,10000,10000,5439,7703
5631,832,10000,10000,9464,9535,4145
4957,305,10000,10000,5210,9043,10000
4611,533,10000,10000,6316,10000,10000
10000,369,10000,10000,6831,2011,7497
4714,490,10000,10000,10000,10000,3621
9864,489,10000,10000,10000,10000,10000
6104,688,10000,10000,9082,4472,8078
6663,624,10000,10000,10000,3839,10000
5888,685,10000,10000,10000,2676,10000
9718,788,10000,10000,10000,5766,7780
10000,656,10000,10000,7803,10000,6951
5998,428,10000,10000,8199,10000,7296
10000,525,10000,10000,8511,4956,10000
6528,595,10000,10000,7828,5481,2396
7604,432,10000,10000,8736,4579,4288
10000,558,10000,10000,4031,3335,10000
9734,760,10000,10000,6870,5120,8078
4039,775,10000,10000,4330,9160,5820
5237,481,10000,10000,3341,5603,9530
2959,1055,10000,10000,10000,8918,10000
5465,475,10000,10000,10000,9020,3564
4690,452,10000,10000,10000,1948,6689
8161,351,10000,10000,10000,5005,9470
10000,711,10000,10000,4897,7238,3375
4050,788,10000,10000,3440,5159,5285
9062,987,10000,10000,10000,9516,9204
6502,595,10000,10000,10000,9983,5382
10000,463,10000,10000,7107,10000,8991
10000,485,10000,10000,10000,6271,5966
6070,562,10000,10000,7623,4547,7907
5232,387,10000,10000,3535,8930,4331
10000,425,10000,10000,2437,6786,10000
4184,686,10000,10000,8248,8282,10000
5512,624,10000,10000,8836,10000,6513
10000,455,10000,10000,3753,5719,9000
8284,466,10000,10000,7328,3693,10000
10000,568,10000,10000,10000,1915,5898
10000,458,10000,10000,3962,5288,8934
10000,562,10000,10000,4026,3653,6949
7590,746,10000,10000,7164,7996,6364
10000,457,10000,10000,8219,7857,7584
10000,518,10000,10000,6991,10000,4753
8889,448,10000,10000,5576,3588,7794
10000,428,10000,10000,10000,3100,6331
10000,318,10000,10000,10000,10000,6115
10000,479,10000,10000,5284,9198,8250
6196,658,10000,10000,6308,4977,10000
8127,420,10000,10000,10000,6546,5668
5290,584,10000,10000,10000,6286,3978
10000,582,10000,10000,10000,4182,6401
10000,781,10000,10000,10000,2264,10000
10000,713,10000,10000,4600,5741,10000
4100,539,10000,10000,5172,5390,10000
5296,437,10000,10000,10000,7962,6404
9457,485,10000,10000,6633,2557,4381
5561,501,10000,10000,4059,3966,8666
7447,2283,10000,10000,2368,7143,5689
10000,453,10000,10000,9974,3253,9492
6832,479,10000,10000,7253,5713,4347
10000,444,10000,10000,7255,5263,6929
10000,818,10000,10000,10000,10000,7817
6115,494,10000,10000,10000,3801,5758
10000,1069,10000,10000,10000,9357,8170
10000,433,10000,10000,6615,3974,10000
10000,979,10000,10000,10000,10000,4426
5766,610,10000,10000,10000,4832,9962
10000,618,10000,10000,4580,2736,8100
6907,492,10000,10000,10000,7973,10000
10000,957,10000,10000,10000,4799,4588
10000,816,10000,10000,5596,7887,4263
9691,578,10000,10000,7476,4022,10000
9202,588,10000,10000,10000,5400,5066
6161,370,10000,10000,8943,4836,4895
10000,782,10000,10000,10000,3551,10000
4419,621,10000,10000,5237,10000,7991
3313,796,10000,10000,10000,3672,10000
10000,452,10000,10000,10000,9295,5983
5087,615,10000,10000,9640,6572,5998
10000,727,10000,10000,10000,10000,7163
5420,426,10000,10000,7099,10000,7052
4827,616,10000,10000,8835,6227,10000
8158,578,10000,10000,8330,6183,6916
10000,523,10000,10000,9520,10000,10000
