complete,star,cycle,line,er,pa,pa2
10000,848,10000,10000,4502,9425,6251
10000,498,10000,10000,8316,2378,5133
10000,859,10000,10000,7764,9798,10000
3045,705,10000,10000,10000,1934,5162
8293,784,10000,10000,6303,10000,7770
3907,742,10000,10000,6762,7618,6538
7060,455,10000,10000,5977,6191,9588
10000,624,10000,10000,10000,5878,10000
6499,731,10000,10000,7659,2468,5860
4596,376,10000,10000,6164,2767,6864
4129,373,10000,10000,10000,9481,10000
3912,798,10000,10000,10000,3381,10000
4068,366,10000,10000,5876,3063,8639
10000,415,10000,10000,10000,6122,10000
10000,408,10000,10000,8485,6089,3463
10000,481,10000,10000,8356,5458,4035
10000,680,10000,10000,5525,9020,8940
5030,559,10000,10000,6077,10000,6907
10000,1164,10000,10000,4342,4925,8393
3163,475,10000,10000,5234,8187,8338
9310,727,10000,10000,4378,3786,6502
10000,499,10000,10000,6869,4375,6789
6865,898,10000,10000,8532,1946,10000
10000,528,10000,10000,10000,4086,9353
3928,530,10000,10000,5097,8678,10000
6020,829,10000,10000,4207,6223,5253
10000,610,10000,10000,5553,8220,6413
10000,439,10000,10000,10000,2872,9656
10000,955,10000,10000,10000,4319,5179
4644,915,10000,10000,8903,3284,10000
4817,881,10000,10000,8702,10000,9050
10000,660,10000,10000,10000,2939,10000
5629,638,10000,10000,5814,4478,6315
6354,657,10000,10000,4284,4234,7807
7096,558,10000,10000,10000,3392,3822
8836,621,10000,10000,10000,2298,7804
4360,615,10000,10000,7899,6721,7754
4443,558,10000,10000,10000,9757,6531
4487,513,10000,10000,8218,4009,8708
10000,641,10000,10000,5929,4111,6252
7068,306,10000,10000,10000,10000,5470
10000,383,10000,10000,10000,10000,10000
3592,821,10000,10000,5003,10000,8905
8657,731,10000,10000,8377,2162,7911
8142,579,10000,10000,10000,3237,10000
10000,719,10000,10000,10000,7578,10000
8804,660,10000,10000,4855,6911,10000
10000,426,10000,10000,9883,6009,3660
9521,683,10000,10000,8416,2525,6835
6527,460,10000,10000,5267,5030,10000
7313,789,10000,10000,6224,6369,8394
9174,1003,10000,10000,7569,7633,5769
4721,660,10000,10000,10000,5913,7195
6320,477,10000,10000,6796,5082,6138
8035,489,10000,10000,7270,5016,7809
10000,346,10000,10000,8461,4048,4403
4187,434,10000,10000,3476,5198,9279
8058,842,10000,10000,5614,3641,8140
9482,901,10000,10000,6811,8398,3013
7018,534,10000,10000,8362,9489,10000
5629,589,10000,10000,3571,4956,10000
6389,421,10000,10000,10000,4073,6042
9390,576,10000,10000,7711,10000,10000
9259,586,10000,10000,3612,6848,10000
5058,629,10000,10000,10000,5515,5447
8808,650,10000,10000,4070,6830,7859
10000,632,10000,10000,6946,4372,5654
7114,710,10000,10000,10000,5245,9200
6510,499,10000,10000,10000,6983,10000
10000,934,10000,10000,10000,4666,7319
10000,522,10000,10000,8183,2716,3511
8457,446,10000,10000,8808,4881,10000
5939,382,10000,10000,5762,6089,10000
9625,468,10000,10000,8599,7054,10000
5010,505,10000,10000,5625,5152,9800
5209,490,10000,10000,6587,4972,10000
5985,804,10000,10000,4546,5583,10000
10000,538,10000,10000,5354,8097,2312
10000,689,10000,10000,10000,5812,10000
6576,684,10000,10000,9197,7743,10000
5178,676,10000,10000,10000,5844,10000
10000,526,10000,10000,10000,7248,4846
10000,703,10000,10000,6305,2622,7388
10000,397,10000,10000,8891,5446,7057
6838,778,10000,10000,5234,5902,7670
9734,788,10000,10000,10000,4903,10000
7477,434,10000,10000,10000,3564,10000
6799,1204,10000,10000,6382,2902,6029
10000,624,10000,10000,7031,7142,10000
8163,605,10000,10000,10000,3028,8010
4572,453,10000,10000,9798,7181,6434
10000,655,10000,10000,10000,10000,4050
8498,647,10000,10000,6321,10000,5779
6695,421,10000,10000,5007,5569,9594
8033,344,10000,10000,7680,1849,10000
7355,359,10000,10000,4633,10000,3767
7963,566,10000,10000,6460,4721,8391
7745,486,10000,10000,9252,3682,3990
8600,850,10000,10000,7041,3539,5437
7021,477,10000,10000,10000,3471,3132
