Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
1588,0,250,301,1,115,1314,0,0,1334,1,247,1391,1,249,4189,1,244
1187,0,0,301,1,119,1509,0,250,1015,0,250,1083,0,250,1299,1,127
1064,0,0,1112,0,250,1483,0,250,1053,0,250,1160,0,250,2191,1,247
1063,0,0,1212,0,250,1685,1,249,1596,0,250,1405,1,249,1063,1,152
1364,1,249,1256,1,247,2054,0,0,1768,1,1,1444,1,249,1757,1,245
1224,1,1,929,0,250,1476,1,249,1352,1,1,2092,1,7,2273,1,246
976,0,250,1287,0,250,1415,0,250,1157,1,1,1441,0,250,1746,0,250
1050,0,250,1425,1,249,1728,0,250,1334,0,250,1189,0,250,2210,0,250
1163,0,0,1282,0,250,1611,1,1,1213,0,250,1696,1,6,1447,0,250
1300,0,0,1416,1,248,1157,0,250,1268,1,249,1548,1,249,1395,1,101
1112,0,0,1580,1,249,1409,1,248,1159,0,0,1286,0,250,1966,1,124
1339,0,0,1110,0,250,911,0,250,1731,0,250,1551,1,7,3523,1,246
1199,1,2,301,1,116,1127,0,250,1368,1,248,1145,0,250,1767,1,248
1646,1,1,1521,1,249,1297,1,249,1353,1,249,1654,1,9,1855,1,249
1066,1,249,1282,1,249,1983,1,249,1242,0,0,1039,1,247,1768,1,247
1170,0,250,301,1,119,1261,0,250,1621,1,1,1657,1,8,2362,1,245
1114,0,250,301,1,121,1477,1,249,1351,0,250,2483,1,5,1267,1,134
1265,1,249,1351,0,250,1739,1,1,1094,1,3,1445,1,9,858,1,142
1499,1,248,301,1,110,1430,1,249,1663,1,1,1199,1,248,1074,1,113
1229,0,250,301,1,120,1311,0,250,1229,0,250,1592,0,250,1379,0,250
1271,0,0,1495,0,250,1367,0,250,1357,0,0,1266,0,250,2895,1,248
1178,1,2,1258,0,250,1565,0,0,1120,0,250,1260,1,9,2602,0,250
1567,1,1,1388,0,250,1596,0,250,1357,0,250,1506,1,8,926,1,135
1123,0,0,1565,0,250,1397,0,250,1157,0,0,1323,0,250,2431,1,243
1189,0,250,301,1,129,1684,1,249,1458,0,0,1392,1,249,1673,0,250
1430,0,0,1196,0,250,2072,1,248,1292,1,248,2172,1,9,1637,0,250
1138,1,247,1508,1,249,1659,0,0,1298,1,1,1527,1,249,1440,1,100
1310,1,249,1472,1,249,1991,1,1,1223,1,249,1919,1,249,1557,1,249
1351,0,250,1562,1,249,1206,1,247,1516,0,250,1324,1,11,2199,1,247
1089,1,3,301,1,121,1652,0,250,1538,1,249,1566,1,7,1646,1,244
1195,0,250,1184,1,249,1386,1,248,1521,0,250,1623,0,250,1676,1,247
1645,1,1,301,1,112,1364,0,0,1435,1,249,1570,1,5,1763,1,241
1647,1,1,301,1,131,1805,0,250,1461,0,0,1537,0,250,2230,0,250
1137,0,0,301,1,122,1841,1,3,1264,0,250,1675,1,249,2005,1,81
1053,0,0,935,0,250,1652,0,250,1107,0,250,1818,1,249,1931,1,246
1350,0,0,1595,1,249,1044,0,250,1140,0,250,1620,1,248,1241,1,148
886,0,0,1508,0,250,1535,1,248,1748,1,249,1555,1,249,1570,0,250
1005,0,0,1052,0,250,1626,1,249,1112,1,2,1735,1,11,1728,1,117
1211,0,0,1491,1,249,1968,0,0,1241,1,248,1152,0,250,2163,1,245
1022,1,2,301,1,122,1856,0,0,1175,0,0,1297,0,250,2637,0,250
1127,0,250,1421,0,250,2048,0,0,2050,1,249,1747,1,6,1984,1,247
1162,0,250,1429,1,248,1778,0,250,1422,1,249,1668,1,9,2190,1,246
1022,0,0,1137,1,249,1501,1,249,1422,1,1,1803,1,4,3023,1,248
