Complete_time,Complete_timeType,Complete_opinion1,Complete_opinion2,Star_time,Star_timeType,Star_opinion1,Star_opinion2,SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
389,0,100,0,121,1,35,21,542,0,100,0,877,0,0,0,553,0,100,0,766,1,98,0
434,0,0,0,452,1,28,72,564,1,99,0,751,1,99,0,517,1,3,97,790,0,100,0
410,0,100,0,121,1,38,31,545,0,100,0,444,0,100,0,386,0,100,0,513,1,56,14
382,0,0,100,401,0,100,0,875,1,19,54,525,0,0,0,643,1,5,95,799,1,97,0
341,0,0,100,444,0,100,0,579,0,0,100,596,1,99,0,714,1,6,94,754,1,65,5
530,0,0,100,121,1,38,35,480,1,98,0,581,1,99,1,463,0,100,0,761,1,98,0
580,0,0,100,490,1,29,71,486,0,100,0,359,0,100,0,654,1,2,98,531,1,15,31
490,0,0,100,339,1,35,65,745,1,0,99,647,1,1,0,526,0,100,0,774,1,96,4
391,1,1,0,455,1,32,66,498,0,100,0,485,0,100,0,486,1,99,1,600,1,52,11
523,0,100,0,347,1,31,68,658,1,99,0,450,0,100,0,501,1,99,0,493,1,37,63
462,0,0,100,484,0,100,0,533,0,100,0,320,0,100,0,478,1,99,0,641,1,51,42
435,1,0,1,567,0,100,0,471,0,100,0,492,0,0,0,424,1,99,1,1005,1,98,2
413,0,0,0,270,1,35,62,511,1,99,0,1150,1,1,99,644,0,100,0,524,1,46,38
428,1,1,98,444,1,99,0,617,0,100,0,507,0,100,0,886,1,2,5,528,1,62,33
504,0,0,0,343,1,31,68,1201,0,0,100,615,1,99,0,380,0,100,0,593,1,97,0
292,0,100,0,121,1,29,28,547,0,100,0,414,1,1,99,571,1,98,2,1401,1,88,0
442,1,2,0,508,1,99,0,1032,0,100,0,514,0,100,0,569,0,100,0,876,1,59,41
409,0,100,0,373,1,37,63,498,1,0,1,470,0,100,0,559,0,100,0,409,0,100,0
477,1,0,99,121,1,32,31,647,0,100,0,491,0,0,100,524,1,3,2,739,1,59,37
295,0,0,0,121,1,28,29,408,1,99,1,593,0,100,0,544,1,99,1,644,1,98,0
369,0,100,0,552,1,34,66,835,0,100,0,629,1,0,99,874,1,2,98,783,1,7,93
367,1,99,0,318,0,100,0,485,0,100,0,494,1,99,0,626,1,3,1,1283,0,100,0
417,0,0,0,448,0,100,0,575,1,37,62,586,1,99,0,606,1,5,4,669,1,95,5
386,0,100,0,462,0,100,0,518,0,100,0,624,0,100,0,738,1,98,2,512,1,95,3
425,1,1,1,515,1,99,0,371,0,100,0,732,1,1,0,671,1,10,88,663,1,92,0
269,0,0,0,457,0,100,0,665,0,100,0,622,0,100,0,705,1,5,95,783,1,93,7
360,0,0,100,398,1,31,69,1071,0,0,100,758,0,0,0,583,1,4,96,534,1,18,21
403,0,0,100,354,1,29,70,931,1,99,1,630,0,100,0,466,1,0,99,972,0,100,0
426,1,1,1,453,0,100,0,478,0,100,0,555,0,100,0,403,0,100,0,725,1,92,3
395,0,100,0,520,1,99,1,499,0,100,0,803,0,100,0,493,1,9,1,588,1,61,36
304,0,0,0,121,1,27,34,709,1,2,0,805,1,99,1,758,1,7,0,379,1,36,38
268,0,0,0,473,0,100,0,616,1,97,0,635,0,0,0,495,1,98,2,579,1,28,70
421,0,100,0,496,1,32,68,593,1,1,99,1115,0,0,0,522,1,4,96,271,1,29,34
354,0,0,100,510,1,34,66,1193,0,0,0,722,0,100,0,626,1,2,1,618,1,39,58
435,1,0,1,357,1,35,64,578,0,100,0,1092,0,100,0,590,0,100,0,894,0,100,0
395,0,0,0,425,1,34,66,475,1,99,0,628,0,0,100,866,0,100,0,1027,1,99,0
385,0,0,0,121,1,28,30,430,0,0,0,486,1,2,96,533,1,99,1,620,1,36,62
399,0,100,0,121,1,38,30,795,1,21,78,1030,0,100,0,585,0,100,0,549,1,31,62
286,0,0,100,448,1,33,67,606,1,1,99,773,0,0,100,502,0,100,0,458,1,47,50
425,0,0,100,490,1,33,66,718,0,0,0,788,0,100,0,487,0,100,0,728,1,27,73
429,0,0,100,573,1,99,0,484,0,0,100,933,0,0,100,653,1,3,97,539,1,97,3
501,1,0,99,463,1,97,3,383,0,0,0,544,1,95,1,512,1,8,2,722,1,97,3
583,1,1,0,435,0,100,0,559,0,100,0,715,1,98,0,559,1,1,1,657,1,27,72
371,0,0,0,464,0,100,0,543,1,99,1,582,1,99,1,576,1,99,1,697,1,47,53
406,0,0,100,121,1,40,27,467,1,97,1,518,1,98,1,402,1,2,4,364,1,49,29
514,1,1,1,581,1,38,62,810,0,100,0,457,0,0,100,721,1,1,2,965,1,91,9
510,1,1,0,529,1,99,0,489,0,100,0,404,1,40,60,704,1,7,93,569,1,72,24
492,1,99,1,121,1,30,33,396,1,41,58,306,0,100,0,597,0,100,0,544,1,61,37
363,0,100,0,502,1,99,0,984,0,100,0,573,0,100,0,568,1,99,0,1133,1,10,83
446,0,100,0,416,0,100,0,462,1,97,1,559,0,100,0,608,1,7,0,536,1,27,73
319,0,0,0,409,0,100,0,813,1,99,1,536,0,100,0,639,0,100,0,736,1,63,27
436,0,0,0,527,0,100,0,441,0,0,100,647,0,0,100,600,1,98,0,300,1,37,33
522,0,0,100,410,0,100,0,468,1,99,1,634,0,100,0,608,1,1,99,526,1,21,54
375,0,100,0,584,1,28,72,819,0,100,0,683,1,51,1,772,1,1,99,532,1,32,24
449,1,2,0,121,1,32,38,1003,1,6,34,494,1,99,0,573,1,3,3,705,1,95,5
331,0,100,0,121,1,31,33,479,1,38,26,391,0,100,0,439,1,99,1,796,1,44,43
303,0,0,100,121,1,32,28,578,0,100,0,471,0,0,100,674,1,3,2,516,0,100,0
442,0,100,0,121,1,33,29,637,0,0,100,469,1,0,99,1026,1,1,99,821,1,92,8
440,0,0,0,302,0,100,0,544,1,98,2,853,1,1,99,556,0,100,0,1250,1,92,0
326,0,0,0,121,1,44,29,739,0,0,100,403,1,33,28,478,1,3,95,699,1,22,68
442,0,100,0,538,1,99,1,504,1,99,0,724,1,0,1,531,1,99,0,350,0,100,0
340,0,100,0,121,1,32,34,409,1,97,2,610,0,100,0,615,1,0,2,962,1,23,76
412,0,0,0,339,0,100,0,368,1,41,12,1120,1,99,1,884,1,6,94,1215,1,97,3
393,1,98,1,391,0,100,0,491,1,1,99,467,0,100,0,565,0,100,0,439,1,35,44
351,0,0,0,407,1,29,71,854,1,1,0,501,1,0,99,453,1,97,0,518,1,30,68
508,1,0,98,333,1,29,68,513,1,0,44,700,0,0,100,805,1,6,4,1551,1,30,69
597,0,0,100,525,1,99,1,493,0,100,0,480,1,99,0,769,1,5,94,529,1,98,2
496,0,100,0,420,1,33,67,815,0,100,0,572,1,49,51,692,1,5,2,674,1,99,0
451,1,97,1,121,1,30,32,562,1,23,43,616,0,100,0,325,0,100,0,385,1,33,26
509,1,0,1,415,1,99,1,765,1,1,99,630,1,0,99,841,1,2,97,501,1,58,15
416,1,1,1,479,1,28,71,528,1,98,2,669,1,1,99,543,1,4,2,432,1,50,28
355,0,0,100,580,1,99,1,592,1,99,0,516,0,100,0,602,1,99,1,677,0,100,0
419,0,0,0,405,0,100,0,613,0,0,100,385,0,100,0,608,1,99,0,684,1,96,0
503,1,99,1,451,1,35,64,652,1,3,97,850,1,1,99,611,0,100,0,645,1,69,31
431,0,100,0,478,1,27,73,958,1,99,0,426,0,100,0,608,1,99,0,836,1,97,1
371,0,0,100,422,1,30,70,997,0,100,0,716,1,1,99,803,1,2,98,662,1,97,0
578,1,1,99,570,0,100,0,352,0,100,0,659,1,99,0,868,1,1,9,493,1,33,57
404,1,0,2,334,1,34,65,561,1,99,1,698,0,100,0,697,1,5,95,917,1,69,27
369,0,0,0,355,1,31,67,476,0,100,0,825,1,99,1,489,1,4,96,875,0,100,0
420,1,1,99,397,1,28,72,689,1,99,0,548,0,100,0,628,1,1,1,397,1,97,2
458,0,100,0,322,0,100,0,567,1,1,99,675,0,0,100,704,1,4,96,336,1,21,38
272,0,100,0,405,1,36,63,667,1,25,2,555,1,1,98,456,1,99,1,1163,1,98,2
390,1,0,99,121,1,33,30,665,1,99,1,388,0,0,100,1050,1,5,2,605,1,54,45
480,0,0,0,400,1,30,69,637,0,100,0,687,0,100,0,483,1,99,0,1112,1,94,4
425,0,100,0,337,1,34,66,651,0,0,100,852,0,0,100,583,1,2,0,609,1,37,58
494,0,0,0,389,0,100,0,1466,0,0,100,590,0,100,0,595,1,0,1,592,0,100,0
419,0,0,100,393,0,100,0,546,0,100,0,930,1,98,1,547,1,5,95,554,1,37,63
335,0,0,0,386,1,37,63,651,1,0,98,868,0,0,100,773,1,1,99,706,1,96,4
469,1,0,99,447,1,36,64,612,0,0,0,399,0,100,0,548,1,5,1,452,1,40,59
500,1,1,0,420,1,34,66,619,0,100,0,420,0,0,100,545,1,3,97,1248,1,42,56
487,0,0,100,121,1,30,36,853,1,99,1,612,0,0,100,797,1,6,94,806,1,98,0
382,1,2,0,121,1,27,38,407,1,97,2,497,0,0,0,294,0,100,0,444,1,31,69
390,1,0,99,121,1,35,29,660,0,100,0,667,0,100,0,599,1,2,98,330,1,27,41
343,0,0,0,461,1,36,64,734,0,0,100,756,0,0,100,419,1,95,2,675,1,42,53
