Complete_time,Complete_timeType,Complete_opinion1,Star_time,Star_timeType,Star_opinion1,SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
10000,2,77,1842,1,248,10000,2,62,10000,2,170,10000,2,232,10000,2,87
10000,2,178,1852,1,249,10000,2,105,10000,2,62,10000,2,180,10000,2,21
10000,2,197,2289,1,7,10000,2,227,10000,2,151,10000,2,234,10000,2,145
10000,2,128,2741,1,3,10000,2,12,10000,2,132,4241,0,0,10000,2,95
10000,2,110,2600,1,245,10000,2,106,10000,2,203,6857,0,250,7963,1,7
10000,2,127,1518,1,244,10000,2,222,9538,0,250,10000,2,106,10000,2,176
10000,2,228,1740,1,245,10000,2,166,10000,2,54,10000,2,134,10000,2,147
10000,2,103,1888,1,1,10000,2,125,10000,2,152,10000,2,6,10000,2,77
10000,2,200,1901,1,3,10000,2,172,10000,2,111,10000,2,21,10000,2,84
10000,2,217,3585,1,245,10000,2,225,10000,2,80,10000,2,178,10000,2,174
10000,2,131,3126,1,245,10000,2,179,10000,2,4,10000,2,7,10000,2,153
10000,2,111,2553,1,242,10000,2,133,10000,2,126,7396,0,0,10000,2,85
10000,2,231,1915,0,0,10000,2,84,10000,2,143,10000,2,153,10000,2,185
10000,2,229,2269,1,2,10000,2,75,10000,2,97,10000,2,7,9823,1,248
10000,2,217,1798,1,247,10000,2,70,10000,2,32,10000,2,131,10000,2,48
10000,2,136,2045,0,0,10000,2,238,10000,2,199,10000,2,139,10000,2,118
10000,2,97,2805,1,241,10000,2,123,10000,2,156,10000,2,194,10000,2,127
10000,2,218,3668,1,4,10000,2,91,10000,2,3,10000,2,49,10000,2,131
10000,2,98,1489,1,241,10000,2,81,10000,2,85,8384,1,246,8101,0,250
10000,2,161,2008,1,4,10000,2,130,10000,2,173,10000,2,198,10000,2,209
10000,2,5,2393,1,248,10000,2,77,10000,2,102,10000,2,142,10000,2,60
10000,2,82,3046,1,3,9258,1,1,10000,2,181,8618,1,3,10000,2,80
10000,2,170,1258,1,239,10000,2,132,10000,2,48,10000,2,59,10000,2,187
10000,2,55,1750,1,247,10000,2,148,10000,2,168,9453,1,2,10000,2,194
10000,2,198,1625,1,4,10000,2,125,10000,2,173,8362,0,0,10000,2,29
10000,2,21,2130,1,245,10000,2,175,10000,2,126,8779,0,250,10000,2,112
10000,2,48,2073,1,3,10000,2,50,5949,1,1,10000,2,235,10000,2,46
10000,2,3,1626,1,244,10000,2,84,10000,2,149,10000,2,108,10000,2,104
10000,2,163,1763,1,10,9961,1,248,10000,2,83,10000,2,40,10000,2,99
10000,2,131,3578,0,250,10000,2,87,10000,2,135,10000,2,54,10000,2,122
10000,2,224,2952,1,4,10000,2,95,10000,2,74,7086,1,249,10000,2,40
10000,2,15,3077,1,1,10000,2,163,10000,2,33,10000,2,146,10000,2,32
10000,2,199,2260,1,248,10000,2,62,6863,0,0,10000,2,80,10000,2,79
10000,2,90,3511,1,4,10000,2,69,10000,2,54,10000,2,203,10000,2,89
10000,2,100,1984,1,247,8926,0,250,10000,2,159,10000,2,17,10000,2,80
10000,2,198,1610,1,7,10000,2,27,10000,2,223,6285,0,0,10000,2,78
10000,2,91,2022,1,245,10000,2,158,10000,2,76,10000,2,135,10000,2,143
10000,2,151,4960,1,249,10000,2,47,10000,2,246,10000,2,6,10000,2,118
10000,2,138,2368,0,250,10000,2,144,10000,2,141,10000,2,65,10000,2,223
10000,2,81,4398,1,249,10000,2,158,7932,0,0,10000,2,60,10000,2,163
10000,2,141,6025,1,3,10000,2,159,10000,2,36,5084,1,249,10000,2,157
10000,2,123,1476,1,245,10000,2,101,10000,2,82,10000,2,50,10000,2,150
10000,2,137,3997,1,8,10000,2,192,10000,2,94,10000,2,151,10000,2,115
10000,2,57,2075,1,2,10000,2,214,10000,2,124,10000,2,185,10000,2,144
10000,2,129,1442,1,9,10000,2,161,10000,2,153,10000,2,222,10000,2,245
10000,2,139,3751,1,248,10000,2,56,10000,2,198,10000,2,71,10000,2,151
10000,2,70,1761,1,4,10000,2,163,10000,2,80,10000,2,231,10000,2,95
10000,2,65,1548,1,8,10000,2,73,10000,2,130,10000,2,204,10000,2,116
10000,2,189,5358,1,1,10000,2,210,10000,2,62,10000,2,44,10000,2,234
10000,2,92,2717,0,0,10000,2,89,10000,2,230,10000,2,12,10000,2,64
10000,2,48,3639,1,249,10000,2,158,10000,2,16,10000,2,84,10000,2,186
10000,2,13,1637,1,246,10000,2,6,10000,2,73,10000,2,205,10000,2,104
5519,0,250,2115,1,2,10000,2,229,10000,2,166,10000,2,61,10000,2,139
10000,2,133,2066,1,2,10000,2,211,10000,2,78,10000,2,171,10000,2,90
10000,2,193,1483,1,245,10000,2,147,10000,2,27,7102,0,250,10000,2,152
10000,2,124,1780,1,4,10000,2,86,10000,2,180,10000,2,220,9286,1,2
10000,2,88,1488,1,10,10000,2,117,10000,2,90,10000,2,249,10000,2,56
10000,2,12,1424,1,243,10000,2,128,10000,2,191,10000,2,125,10000,2,110
10000,2,154,2452,1,245,10000,2,175,10000,2,122,10000,2,203,10000,2,136
10000,2,29,1831,1,247,10000,2,125,10000,2,89,7182,0,250,10000,2,219
10000,2,126,2008,1,247,10000,2,50,10000,2,158,10000,2,136,10000,2,175
10000,2,199,2408,1,248,10000,2,101,10000,2,4,10000,2,162,10000,2,217
10000,2,192,2334,1,7,10000,2,84,10000,2,42,10000,2,80,10000,2,45
10000,2,194,2725,1,246,10000,2,9,10000,2,200,10000,2,189,10000,2,63
10000,2,109,1985,1,248,10000,2,198,10000,2,134,10000,2,86,10000,2,47
10000,2,90,2082,1,3,10000,2,151,10000,2,33,10000,2,220,10000,2,172
10000,2,94,2148,1,248,10000,2,38,10000,2,46,10000,2,48,10000,2,166
10000,2,157,2657,1,245,10000,2,104,10000,2,208,10000,2,35,10000,2,93
10000,2,50,2548,1,247,10000,2,74,10000,2,171,10000,2,146,10000,2,242
10000,2,73,1650,0,250,10000,2,177,10000,2,60,10000,2,147,10000,2,41
10000,2,1,2191,1,5,10000,2,31,10000,2,117,10000,2,44,10000,2,35
10000,2,199,2925,1,2,10000,2,165,10000,2,225,10000,2,125,10000,2,89
