SW_time,SW_timeType,SW_opinion1,ER_time,ER_timeType,ER_opinion1,PA_time,PA_timeType,PA_opinion1,L2_time,L2_timeType,L2_opinion1
10000,2,386,10000,2,390,10000,2,284,10000,2,462
10000,2,378,10000,2,360,10000,2,553,10000,2,406
10000,2,390,10000,2,394,10000,2,225,10000,2,411
10000,2,337,10000,2,342,10000,2,539,10000,2,346
10000,2,343,10000,2,402,10000,2,366,10000,2,461
10000,2,494,10000,2,494,10000,2,501,10000,2,396
10000,2,393,10000,2,386,10000,2,437,10000,2,261
10000,2,372,10000,2,454,10000,2,424,10000,2,475
10000,2,391,10000,2,558,10000,2,373,10000,2,364
10000,2,274,10000,2,333,10000,2,379,10000,2,256
10000,2,321,10000,2,392,10000,2,377,10000,2,345
10000,2,341,10000,2,316,10000,2,319,10000,2,415
10000,2,307,10000,2,216,10000,2,234,10000,2,258
10000,2,456,10000,2,396,10000,2,317,10000,2,443
10000,2,449,10000,2,330,10000,2,176,10000,2,301
10000,2,289,10000,2,374,10000,2,282,10000,2,279
10000,2,387,10000,2,456,10000,2,543,10000,2,347
10000,2,385,10000,2,364,10000,2,456,10000,2,332
10000,2,303,10000,2,357,10000,2,410,10000,2,380
10000,2,378,10000,2,243,10000,2,237,10000,2,311
10000,2,458,10000,2,461,10000,2,442,10000,2,358
10000,2,367,10000,2,421,10000,2,419,10000,2,368
10000,2,376,10000,2,413,10000,2,481,10000,2,247
10000,2,543,10000,2,448,10000,2,408,10000,2,453
10000,2,422,10000,2,312,10000,2,478,10000,2,308
