Complete_time,Complete_timeType,Complete_opinion1,Complete_opinion2,Star_time,Star_timeType,Star_opinion1,Star_opinion2,SW_time,SW_timeType,SW_opinion1,SW_opinion2,ER_time,ER_timeType,ER_opinion1,ER_opinion2,PA_time,PA_timeType,PA_opinion1,PA_opinion2,L2_time,L2_timeType,L2_opinion1,L2_opinion2
4367,0,0,100,760,1,98,1,4951,0,100,0,4917,0,0,0,7371,1,99,0,4478,1,1,0
9027,0,0,100,895,0,100,0,14000,2,90,0,14000,2,0,57,4808,0,100,0,9892,1,3,97
3276,0,0,0,1508,0,100,0,10017,0,100,0,11168,0,0,0,10476,1,1,0,2650,1,2,98
14000,2,0,29,811,1,4,0,3562,0,0,0,4091,0,100,0,3307,1,96,0,5135,1,0,1
14000,2,59,41,925,0,100,0,2901,0,100,0,2221,0,100,0,4304,1,99,1,4191,0,100,0
3807,1,1,99,767,1,99,0,11029,0,0,0,6537,1,2,0,10503,1,0,1,8600,1,98,2
5874,0,0,0,637,1,97,2,12374,0,100,0,4616,0,0,100,7253,0,100,0,3054,0,100,0
4147,0,0,0,1304,0,0,100,14000,2,35,0,12138,1,3,0,1882,1,98,2,7601,1,1,99
7280,0,0,0,990,1,1,99,4361,0,0,100,4599,0,0,0,3786,0,0,100,3043,1,1,0
12938,1,0,98,774,1,1,1,1731,0,0,100,14000,2,0,64,3121,1,1,99,14000,2,0,6
7606,0,100,0,1545,1,98,0,3013,0,100,0,14000,2,49,51,3314,1,98,0,5016,1,2,98
3408,0,0,0,1184,1,0,1,6067,1,0,1,12785,1,1,0,4565,1,0,1,5968,0,0,100
5532,0,0,0,968,0,0,0,12173,0,100,0,3413,0,100,0,6267,0,0,0,4652,1,99,1
9128,1,1,0,1214,1,99,1,8161,0,100,0,14000,2,0,22,8448,1,0,2,7598,1,99,0
9412,1,2,0,1054,1,1,0,5387,0,100,0,5743,0,100,0,5238,1,99,0,906,1,5,92
4737,0,100,0,849,1,3,96,13828,1,0,1,1735,0,0,0,6795,1,0,1,5255,1,97,0
6201,0,100,0,860,1,2,98,14000,2,28,0,14000,2,0,31,6015,0,0,0,5138,0,0,100
12140,0,0,0,1205,1,0,2,6719,0,100,0,14000,2,72,28,3093,1,0,97,14000,2,52,0
3463,0,0,100,835,0,100,0,14000,2,63,0,14000,2,0,98,3728,0,100,0,6681,1,1,99
3917,0,0,100,755,1,98,0,6783,1,0,1,6886,1,0,98,2901,1,1,98,9862,0,0,0
12212,0,0,0,978,1,0,4,4321,0,0,0,1955,0,100,0,2966,0,0,0,9326,0,0,100
7931,1,99,1,534,1,1,4,14000,2,14,86,11525,0,0,0,2625,1,1,97,4842,1,0,2
7184,0,100,0,637,1,98,1,3322,0,0,0,3589,0,0,0,5570,0,0,0,13099,0,0,0
14000,2,0,51,894,1,1,1,6309,1,1,99,7011,0,0,0,5558,1,1,99,7152,1,0,1
14000,2,0,52,1757,0,100,0,11140,1,0,1,4644,1,99,1,3863,0,100,0,2796,1,99,1
4767,0,100,0,739,0,100,0,3930,0,100,0,5932,0,100,0,4468,0,0,100,3030,0,0,100
7666,1,1,0,839,1,0,1,2775,0,100,0,14000,2,0,18,8017,1,0,1,5422,1,95,5
2781,0,0,0,1034,0,0,100,10424,0,0,0,6939,0,0,100,2898,0,100,0,5392,0,0,100
14000,2,0,76,1122,1,0,98,5541,0,0,0,3477,1,3,97,4249,0,100,0,4718,1,98,0
5340,0,100,0,935,1,99,0,14000,2,41,0,8593,1,1,0,7394,0,100,0,13219,1,99,0
6582,0,0,0,2362,1,94,0,6686,0,100,0,9265,0,0,100,8693,1,1,0,6348,1,2,98
1991,0,0,0,632,1,2,96,2762,0,0,0,6103,0,100,0,6800,1,99,1,4708,1,3,97
5941,0,0,0,989,1,0,99,6018,1,0,99,4730,0,0,0,14000,2,11,89,3155,1,99,1
4817,0,0,100,684,1,96,1,7908,0,0,100,3713,1,99,1,9015,1,0,98,5099,0,100,0
8565,0,100,0,1364,1,97,0,5184,0,0,100,12430,1,99,1,5838,1,0,1,7659,1,0,3
12079,1,0,99,1276,0,0,100,7624,1,97,0,9979,0,100,0,5606,0,0,0,9578,1,2,0
5522,1,1,0,642,1,96,1,6306,0,100,0,8941,1,99,0,6871,0,100,0,12992,1,4,96
14000,2,11,89,704,1,1,0,14000,2,0,45,3945,0,0,100,4765,1,3,0,3558,0,0,0
8022,0,100,0,693,1,0,1,3696,1,3,0,3277,0,0,100,1956,1,99,0,3818,1,99,1
