complete,star,cycle,line,er,pa,pa2
1613,662,18378,20000,5656,2432,5362
2875,779,20000,19319,3854,5685,4251
7392,513,20000,20000,2527,3137,2087
2620,559,20000,20000,3420,504,9381
1770,610,13110,20000,927,4769,4623
308,638,4031,20000,4864,612,7766
672,526,20000,20000,1236,670,1627
1369,614,20000,20000,1714,874,1217
933,717,4170,20000,932,3094,5511
790,532,4760,20000,4299,2395,1065
7894,608,20000,20000,5064,824,1784
871,1161,5724,20000,3519,3534,2013
3471,523,20000,20000,1746,1557,2746
2306,555,4064,6177,4732,1666,11582
4307,1009,20000,20000,2890,1288,1771
4282,865,2665,13386,5859,3307,2528
1537,567,3201,20000,2500,953,7154
1117,776,17047,20000,4455,4231,4109
6490,641,20000,20000,3862,3781,769
2719,693,20000,20000,3913,1116,4113
2383,614,20000,12789,5541,3650,10302
5740,787,20000,15503,2586,3030,1500
7696,944,20000,8905,1663,2110,3328
2786,529,8870,20000,2822,1882,2543
2483,665,20000,20000,858,3347,2409
8656,604,20000,20000,5933,595,5812
739,1117,20000,20000,12274,1173,2134
1533,710,20000,8144,5918,7219,5857
1612,1026,20000,20000,3013,4174,1238
455,432,20000,20000,4126,2138,3041
4460,730,20000,20000,2264,2364,2161
1065,1081,20000,20000,11751,4432,4635
5457,562,20000,20000,1178,2178,3631
1155,376,20000,13336,1419,2802,2020
818,812,19711,5785,1822,9875,8453
9396,672,20000,20000,1654,3714,2765
1305,533,20000,17141,955,3231,1434
2214,747,20000,20000,2381,5208,2099
6341,522,20000,20000,3997,1525,1037
1210,443,20000,20000,910,3646,11075
2949,1420,20000,7387,1314,1373,4515
1828,492,2876,9946,5858,1593,4353
7879,744,20000,20000,2243,4242,2473
12530,631,20000,20000,2101,8693,10784
3293,852,20000,20000,1061,845,2929
3677,681,9371,6328,2709,1134,10571
4020,529,20000,20000,2623,5287,3968
2729,464,3132,20000,8318,2181,3814
1758,594,20000,20000,1927,3491,2503
1109,603,20000,20000,8297,3225,4253
5229,625,20000,20000,967,4681,6358
1238,929,20000,20000,3005,3387,8271
5335,549,20000,20000,2509,1920,1276
1964,818,20000,20000,1044,3615,4839
8856,1070,20000,20000,9495,1797,1047
1310,518,3403,20000,2492,2709,2015
815,939,20000,20000,6149,1169,5997
3276,1498,20000,20000,3608,2731,581
3123,634,13802,20000,1529,2774,2291
4540,553,20000,20000,3347,4169,5346
1099,657,20000,20000,339,1758,4045
1108,1288,20000,9718,2093,1466,2621
928,672,20000,3861,5634,3603,5978
2885,646,20000,13874,1386,927,1502
3938,391,20000,20000,2997,6723,7189
1290,1060,20000,7007,1908,549,2763
4517,416,20000,20000,9504,3681,2692
1666,469,20000,20000,1851,4126,6327
2793,632,20000,20000,3878,1421,1407
9576,1088,20000,20000,7896,2635,5986
1298,800,15032,20000,12801,873,17217
2248,1229,11707,20000,1924,1591,4596
11557,409,20000,20000,2475,2367,8902
774,672,20000,5711,2382,2433,2222
4346,465,20000,20000,7376,4591,2975
1429,660,20000,20000,1332,3320,1719
2211,557,10666,20000,2195,1142,1304
2635,510,20000,20000,1246,3396,2996
5445,731,20000,20000,1413,1536,3170
2808,995,20000,20000,9752,2998,6206
1742,582,20000,20000,3459,1654,1103
1113,858,11171,20000,5880,1402,2734
4114,856,16634,20000,8552,2537,2444
3218,481,13839,20000,563,6613,3962
2721,587,20000,20000,1569,2392,11268
3071,987,20000,9936,5103,1269,1906
6593,271,20000,20000,1425,1621,1426
2977,856,20000,5344,2374,1852,7231
1060,1598,20000,20000,3341,880,2165
2138,723,20000,20000,5674,567,827
7870,1172,20000,20000,8583,4271,1892
1136,718,20000,20000,1248,1473,2720
1741,694,20000,18089,966,3863,7085
4070,879,5098,20000,2257,2995,1734
1769,527,7716,20000,3521,765,3009
3095,667,9212,20000,2779,3682,4795
3790,476,10805,20000,1226,1678,1202
4829,450,20000,20000,5376,3360,1117
5448,349,2146,20000,2533,2191,2401
3830,355,12854,20000,4588,2684,3954
