complete,star,cycle,line,er,pa,pa2
113,56,240,1233,236,70,59
110,53,414,507,50,69,111
78,52,162,512,76,104,197
76,29,272,278,98,206,111
116,97,95,185,65,215,145
125,31,268,133,60,83,73
166,67,434,300,97,34,34
203,128,144,330,117,64,149
38,70,121,195,71,67,57
70,69,49,394,112,152,157
76,56,193,203,69,47,124
60,47,94,275,158,111,71
46,103,523,349,276,109,150
39,62,57,759,124,72,67
41,30,317,360,48,130,64
39,61,300,329,9986,102,181
79,76,255,447,122,129,57
90,38,407,481,94,233,273
65,32,341,95,148,85,666
45,111,365,317,32,232,117
143,52,189,725,226,9969,343
88,30,183,223,218,60,152
141,97,163,164,110,215,116
44,62,284,377,101,113,156
127,99,632,221,106,186,88
26,45,302,443,85,127,220
101,106,171,133,66,81,159
120,39,89,340,52,140,73
109,156,79,580,26,102,375
135,125,125,283,87,115,122
73,53,209,766,183,234,122
71,50,296,600,85,97,107
37,98,315,214,94,65,72
71,21,204,740,299,154,144
51,66,302,953,241,66,116
31,85,108,714,39,187,145
56,74,135,482,48,152,127
109,81,183,260,68,45,104
46,118,345,188,58,105,87
60,72,162,340,186,69,138
59,40,233,352,149,48,283
30,43,323,1142,58,97,133
62,61,90,331,9832,79,332
116,38,75,128,74,39,84
127,109,293,128,87,89,187
72,39,197,561,157,133,506
22,203,403,502,60,164,114
325,94,211,431,61,65,277
47,35,82,219,34,89,106
61,50,257,409,77,96,46
199,42,471,241,151,69,220
41,253,136,296,140,50,43
60,179,221,544,71,405,70
66,106,317,678,153,123,50
87,58,299,730,32,162,77
45,60,273,204,272,44,246
145,32,274,469,52,211,81
33,103,82,547,128,148,104
94,57,104,361,123,68,68
157,48,225,1064,89,349,198
99,34,202,381,101,119,290
159,84,239,645,55,140,107
20,36,166,494,221,31,144
96,35,162,360,32,340,379
110,24,440,199,139,47,73
72,61,224,192,97,124,131
66,60,292,212,96,217,127
16,69,239,150,67,81,149
33,67,209,546,30,9992,102
39,98,176,454,124,190,74
48,27,394,108,61,295,148
146,196,306,230,38,9945,120
100,64,208,375,124,86,111
32,77,69,257,266,67,89
79,70,166,463,31,115,344
104,142,195,478,24,60,165
207,66,161,385,65,173,83
59,57,579,266,112,51,172
78,39,153,480,151,526,198
190,133,189,163,87,83,205
64,65,151,138,233,116,35
81,32,169,233,9993,38,138
187,71,326,212,171,94,137
68,111,531,518,105,117,71
182,72,159,204,81,135,168
91,83,101,188,90,61,161
63,116,289,745,114,216,82
35,26,281,128,134,99,67
36,47,1088,513,119,98,73
114,154,57,399,68,250,108
59,42,600,95,104,68,74
96,81,191,151,78,31,266
127,94,186,564,137,116,96
57,38,172,96,225,267,60
62,66,220,201,156,56,386
140,49,477,818,161,507,143
140,94,358,337,70,153,572
262,85,303,489,53,70,142
48,81,310,318,76,176,302
107,30,118,219,89,219,405
